ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
244	243	-1	0	1	0	0	-90.394185 38.610634000000005,-90.394887 38.61031
243	244	-1	0	1	0	0	-90.394887 38.61031,-90.394185 38.610634000000005
385	245	-1	0	1	0	0	-90.392796 38.611301,-90.393486 38.610974
245	385	-1	0	1	0	0	-90.393486 38.610974,-90.392796 38.611301
247	246	-1	0	1	0	0	-90.39257 38.611419,-90.392636 38.611383000000004,-90.392714 38.61134
246	247	-1	0	1	0	0	-90.392714 38.61134,-90.392636 38.611383000000004,-90.39257 38.611419
258	255	-1	0	1	0	0	-90.397374 38.61407,-90.398166 38.613852
255	258	-1	0	1	0	0	-90.398166 38.613852,-90.397374 38.61407
269	268	-1	0	1	0	0	-90.401608 38.610273,-90.401852 38.610984
268	269	-1	0	1	0	0	-90.401852 38.610984,-90.401608 38.610273
272	271	-1	0	1	0	0	-90.386132 38.600825,-90.386008 38.601044,-90.385761 38.601462,-90.385622 38.60174,-90.385418 38.602111,-90.38523 38.602422000000004,-90.385073 38.60267,-90.385013 38.602779,-90.384973 38.602893
271	272	-1	0	1	0	0	-90.384973 38.602893,-90.385013 38.602779,-90.385073 38.60267,-90.38523 38.602422000000004,-90.385418 38.602111,-90.385622 38.60174,-90.385761 38.601462,-90.386008 38.601044,-90.386132 38.600825
289	288	-1	0	1	0	0	-90.396986 38.609308999999996,-90.39629 38.609624
288	289	-1	0	1	0	0	-90.39629 38.609624,-90.396986 38.609308999999996
471	306	-1	0	1	0	0	-90.387569 38.606897000000004,-90.388017 38.607253,-90.388082 38.607271,-90.388127 38.60726,-90.388178 38.607223000000005,-90.388377 38.607034999999996,-90.388436 38.607002,-90.388495 38.607006999999996,-90.388559 38.607049,-90.388734 38.607205
306	471	-1	0	1	0	0	-90.388734 38.607205,-90.388559 38.607049,-90.388495 38.607006999999996,-90.388436 38.607002,-90.388377 38.607034999999996,-90.388178 38.607223000000005,-90.388127 38.60726,-90.388082 38.607271,-90.388017 38.607253,-90.387569 38.606897000000004
367	319	-1	0	1	0	0	-90.390114 38.606784000000005,-90.389568 38.607412
319	367	-1	0	1	0	0	-90.389568 38.607412,-90.390114 38.606784000000005
391	319	-1	0	1	0	0	-90.389379 38.607572000000005,-90.389568 38.607412
319	391	-1	0	1	0	0	-90.389568 38.607412,-90.389379 38.607572000000005
436	319	-1	0	1	0	0	-90.389841 38.607654,-90.389568 38.607412
319	436	-1	0	1	0	0	-90.389568 38.607412,-90.389841 38.607654
382	320	-1	0	1	0	0	-90.38439 38.6066,-90.384271 38.606691
320	382	-1	0	1	0	0	-90.384271 38.606691,-90.38439 38.6066
353	324	-1	0	1	0	0	-90.383236 38.616475,-90.383109 38.6166
324	353	-1	0	1	0	0	-90.383109 38.6166,-90.383236 38.616475
328	325	-1	0	1	0	0	-90.388425 38.60606,-90.388635 38.605863,-90.388747 38.605817,-90.388801 38.605817,-90.388924 38.605873,-90.388977 38.605914
325	328	-1	0	1	0	0	-90.388977 38.605914,-90.388924 38.605873,-90.388801 38.605817,-90.388747 38.605817,-90.388635 38.605863,-90.388425 38.60606
429	325	-1	0	1	0	0	-90.38937 38.606226,-90.389332 38.606197,-90.388977 38.605914
325	429	-1	0	1	0	0	-90.388977 38.605914,-90.389332 38.606197,-90.38937 38.606226
436	334	-1	0	1	0	0	-90.389841 38.607654,-90.390476 38.607049
334	436	-1	0	1	0	0	-90.390476 38.607049,-90.389841 38.607654
451	339	-1	0	1	0	0	-90.387948 38.609415,-90.387786 38.609291999999996
339	451	-1	0	1	0	0	-90.387786 38.609291999999996,-90.387948 38.609415
458	339	-1	0	1	0	0	-90.387245 38.609728000000004,-90.387786 38.609291999999996
339	458	-1	0	1	0	0	-90.387786 38.609291999999996,-90.387245 38.609728000000004
499	339	-1	0	1	0	0	-90.387555 38.609117999999995,-90.387786 38.609291999999996
339	499	-1	0	1	0	0	-90.387786 38.609291999999996,-90.387555 38.609117999999995
361	350	-1	0	1	0	0	-90.386246 38.608056000000005,-90.386292 38.608134,-90.38638 38.608273,-90.386458 38.608343000000005,-90.387038 38.608816000000004
350	361	-1	0	1	0	0	-90.387038 38.608816000000004,-90.386458 38.608343000000005,-90.38638 38.608273,-90.386292 38.608134,-90.386246 38.608056000000005
420	350	-1	0	1	0	0	-90.386947 38.608899,-90.386981 38.608873,-90.387038 38.608816000000004
350	420	-1	0	1	0	0	-90.387038 38.608816000000004,-90.386981 38.608873,-90.386947 38.608899
479	350	-1	0	1	0	0	-90.387089 38.608766,-90.387038 38.608816000000004
350	479	-1	0	1	0	0	-90.387038 38.608816000000004,-90.387089 38.608766
396	353	-1	0	1	0	0	-90.382915 38.61589,-90.382845 38.615944999999996,-90.382806 38.615989,-90.382787 38.616029,-90.382788 38.616062,-90.382803 38.616094000000004,-90.382837 38.616124,-90.383236 38.616475
353	396	-1	0	1	0	0	-90.383236 38.616475,-90.382837 38.616124,-90.382803 38.616094000000004,-90.382788 38.616062,-90.382787 38.616029,-90.382806 38.615989,-90.382845 38.615944999999996,-90.382915 38.61589
409	361	-1	0	1	0	0	-90.38649 38.607906,-90.386464 38.607924,-90.386246 38.608056000000005
361	409	-1	0	1	0	0	-90.386246 38.608056000000005,-90.386464 38.607924,-90.38649 38.607906
481	361	-1	0	1	0	0	-90.38605 38.608164,-90.386246 38.608056000000005
361	481	-1	0	1	0	0	-90.386246 38.608056000000005,-90.38605 38.608164
441	370	-1	0	1	0	0	-90.383461 38.615162999999995,-90.383633 38.615337
370	441	-1	0	1	0	0	-90.383633 38.615337,-90.383461 38.615162999999995
452	370	-1	0	1	0	0	-90.383529 38.615417,-90.383633 38.615337
370	452	-1	0	1	0	0	-90.383633 38.615337,-90.383529 38.615417
465	376	-1	0	1	0	0	-90.389426 38.607927000000004,-90.389214 38.607918999999995
376	465	-1	0	1	0	0	-90.389214 38.607918999999995,-90.389426 38.607927000000004
409	390	-1	0	1	0	0	-90.38649 38.607906,-90.3873 38.608565
390	409	-1	0	1	0	0	-90.3873 38.608565,-90.38649 38.607906
440	390	-1	0	1	0	0	-90.387212 38.608648,-90.3873 38.608565
390	440	-1	0	1	0	0	-90.3873 38.608565,-90.387212 38.608648
455	391	-1	0	1	0	0	-90.389296 38.606942000000004,-90.389379 38.607572000000005
391	455	-1	0	1	0	0	-90.389379 38.607572000000005,-90.389296 38.606942000000004
465	391	-1	0	1	0	0	-90.389426 38.607927000000004,-90.389379 38.607572000000005
